0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events,discovery events,discovery events,discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image
,,CONARTDaksinaKosala000067,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000068,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000069,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000070,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000071,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000072,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000073,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000074,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000075,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000076,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000077,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000078,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000079,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000080,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000081,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000082,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
